название лифта;тип;рег. номер;механик;дата последнего ТО
<a href='http://www.insecom.ru'>Шиндлер</a>;Лифт;41961;Кузьмин Александр;13.03.2012
<a href='http://www.insecom.ru'>Шиндлер</a>;Лифт;39256;Кузьмин Александр;15.03.2012
<a href='http://www.insecom.ru'>Обсл. стацион. персоналом</a>;;1 чел.;Кузьмин Александр;
<a href='http://www.insecom.ru'>Шиндлер</a>;Лифт;34074;Кузьмин Александр;27.03.2012
<a href='http://www.insecom.ru'>Шиндлер</a>;Лифт;39990;Кузьмин Александр;14.03.2012
<a href='http://www.insecom.ru'>Шиндлер</a>;Лифт;34075;Кузьмин Александр;27.03.2012
<a href='http://www.insecom.ru'>Шиндлер</a>;Лифт;38884;Кузьмин Александр;15.03.2012
<a href='http://www.insecom.ru'>Шиндлер</a>;Лифт;41960;Кузьмин Александр;13.03.2012
<a href='http://www.insecom.ru'>Шиндлер</a>;Лифт;39989;Кузьмин Александр;14.03.2012
